,constituency,eligible_voters,line,num_candidates,state,valid_votes,votes_cast,candidate,party,percent,votes
1,Hsipaw-2,13423.0,1549.0,3.0,Shan,8412.0,9461.0,Naing Shwe Kyar,SNLD,44,3693
2,Hsipaw-2,13423.0,1549.0,3.0,Shan,8412.0,9461.0,Sai Chit Hlaing,NUP,11,893
0,Namhsan,19346.0,1557.0,3.0,Shan,9534.0,10914.0,Tun Kyaw,TNLD,64,6095
1,Namhsan,19346.0,1557.0,3.0,Shan,9534.0,10914.0,Kyaw Nyunt,NLD,25,2358
2,Namhsan,19346.0,1557.0,3.0,Shan,9534.0,10914.0,Khun Pwint,NUP,11,1081
0,Momeik,28799.0,1565.0,5.0,Shan,17253.0,20929.0,Dr. Ohn Maung,NLD,48,8203
1,Momeik,28799.0,1565.0,5.0,Shan,17253.0,20929.0,Daw Hla Kywe,SNLD,25,4262
2,Momeik,28799.0,1565.0,5.0,Shan,17253.0,20929.0,Mying Maung,NUP,19,3225
0,Namtu,32696.0,1573.0,4.0,Shan,17838.0,20133.0,Daw May Phyo,NLD,55,9782
1,Namtu,32696.0,1573.0,4.0,Shan,17838.0,20133.0,Aung Win,SNLD,30,5324
2,Namtu,32696.0,1573.0,4.0,Shan,17838.0,20133.0,Sai San Pe,NUP,10,1863
0,Mabein,13401.0,1581.0,3.0,Shan,10514.0,11547.0,Chit Khin,NLD,83,8767
1,Mabein,13401.0,1581.0,3.0,Shan,10514.0,11547.0,Myint,NUP,15,1616
0,Namsang,20941.0,1585.0,3.0,Shan,9736.0,11428.0,Sai Tin Win,SNLD,39,3752
1,Namsang,20941.0,1585.0,3.0,Shan,9736.0,11428.0,Win Maung,PUO,34,3343
2,Namsang,20941.0,1585.0,3.0,Shan,9736.0,11428.0,Khin Maung Phyu,NLD,27,2641
0,Yekyi-1,58576.0,1596.0,3.0,Ayeyarwady,45209.0,51009.0,Nyunt Win,NLD,63,28327
1,Yekyi-1,58576.0,1596.0,3.0,Ayeyarwady,45209.0,51009.0,Khin Maung Kyi,NUP,36,16069
0,Yekyi-2,61340.0,1600.0,4.0,Ayeyarwady,39879.0,46133.0,Maung Maung,NLD,67,26740
1,Yekyi-2,61340.0,1600.0,4.0,Ayeyarwady,39879.0,46133.0,Col. Myint Aung,NUP,30,11911
0,Mawlamyinegyunn-1,72418.0,1604.0,4.0,Ayeyarwady,47069.0,53247.0,Hla Pe,NLD,53,24960
1,Mawlamyinegyunn-1,72418.0,1604.0,4.0,Ayeyarwady,47069.0,53247.0,Capt. Thaung Nyunt,NUP,45,21395
0,Mawlamyinegyunn-2,70457.0,1608.0,5.0,Ayeyarwady,39215.0,45352.0,Tin Hla,NLD,52,20317
1,Mawlamyinegyunn-2,70457.0,1608.0,5.0,Ayeyarwady,39215.0,45352.0,Tin Mya,NUP,44,17173
0,Myaungmya-1,84757.0,1612.0,5.0,Ayeyarwady,51575.0,61112.0,Aung Kyin,NLD,53,27446
1,Myaungmya-1,84757.0,1612.0,5.0,Ayeyarwady,51575.0,61112.0,Maj. Aung Than,NUP,34,17780
0,Myaungmya-2,86526.0,1616.0,4.0,Ayeyarwady,45444.0,55724.0,Soe Min,NLD,59,26725
1,Myaungmya-2,86526.0,1616.0,4.0,Ayeyarwady,45444.0,55724.0,Kan Hla,YUO,33,15145
0,Kyonpyaw-1,66058.0,1621.0,5.0,Ayeyarwady,43508.0,50523.0,Mahn Johnny,NLD,73,31731
1,Kyonpyaw-1,66058.0,1621.0,5.0,Ayeyarwady,43508.0,50523.0,Tin Kyi,NUP,23,9850
0,Kyonpyaw-2,63678.0,1625.0,4.0,Ayeyarwady,44929.0,51579.0,Tin,NLD,69,30816
1,Kyonpyaw-2,63678.0,1625.0,4.0,Ayeyarwady,44929.0,51579.0,Win Maung,PUO,27,12078
0,Danubyu-1,50953.0,1630.0,4.0,Ayeyarwady,36689.0,41659.0,Win Myint,NLD,56,20388
1,Danubyu-1,50953.0,1630.0,4.0,Ayeyarwady,36689.0,41659.0,Maj-Gen Hla Oo,NUP,41,15191
0,Danubyu-2,52825.0,1634.0,4.0,Ayeyarwady,38258.0,43031.0,Thaung Yi,NLD,53,20200
1,Danubyu-2,52825.0,1634.0,4.0,Ayeyarwady,38258.0,43031.0,Khin Thein,NUP,41,15707
0,Einme-1,45061.0,1638.0,3.0,Ayeyarwady,31128.0,37068.0,Tin Htut,NLD,62,19441
1,Einme-1,45061.0,1638.0,3.0,Ayeyarwady,31128.0,37068.0,Col. Ohn Kyi,NUP,33,10154
0,Einme-2,44901.0,1642.0,4.0,Ayeyarwady,30770.0,36899.0,Myint Maung,NLD,65,20054
1,Einme-2,44901.0,1642.0,4.0,Ayeyarwady,30770.0,36899.0,Tin Oo,NUP,26,8105
0,Kyaunggon-1,39570.0,1646.0,3.0,Ayeyarwady,26927.0,32492.0,Saw Lwin,NLD,62,16563
1,Kyaunggon-1,39570.0,1646.0,3.0,Ayeyarwady,26927.0,32492.0,Hla Tun,YUO,36,9726
0,Kyaunggon-2,40796.0,1651.0,3.0,Ayeyarwady,29205.0,33695.0,Dr. Hla Win,NLD,63,18376
1,Kyaunggon-2,40796.0,1651.0,3.0,Ayeyarwady,29205.0,33695.0,San Aye,NUP,34,9907
0,Labutta-1,75963.0,1655.0,4.0,Ayeyarwady,35135.0,43483.0,Kyi Win,NLD,67,23483
1,Labutta-1,75963.0,1655.0,4.0,Ayeyarwady,35135.0,43483.0,Daw Mya Thwin,NUP,32,11127
0,Labutta-2,71279.0,1659.0,2.0,Ayeyarwady,34627.0,42641.0,Aye Kyu,NLD,57,19676
1,Labutta-2,71279.0,1659.0,2.0,Ayeyarwady,34627.0,42641.0,Khin Soe,WUO,43,14951
0,Hinthada-1,107098.0,1664.0,4.0,Ayeyarwady,67704.0,83129.0,Mya Than,NLD,58,39479
1,Hinthada-1,107098.0,1664.0,4.0,Ayeyarwady,67704.0,83129.0,Saw Tun,NUP,29,19441
2,Hinthada-1,107098.0,1664.0,4.0,Ayeyarwady,67704.0,83129.0,Kyin Aye,Independent,11,7766
0,Hinthada-2,100149.0,1672.0,4.0,Ayeyarwady,71345.0,80853.0,Dr. Zaw Myint,NLD,68,48758
1,Hinthada-2,100149.0,1672.0,4.0,Ayeyarwady,71345.0,80853.0,Tun Bi,NUP,28,19784
0,Thabaung-1,40777.0,1676.0,4.0,Ayeyarwady,25022.0,30715.0,Hla Myint,NLD,59,14846
1,Thabaung-1,40777.0,1676.0,4.0,Ayeyarwady,25022.0,30715.0,Aung Nyunt,NUP,38,9526
0,Thabaung-2,40658.0,1680.0,2.0,Ayeyarwady,26545.0,31079.0,Than Win,NLD,66,17509
1,Thabaung-2,40658.0,1680.0,2.0,Ayeyarwady,26545.0,31079.0,Saw Chit Sein,NUP,34,9036
0,Wakema-1,79490.0,1684.0,4.0,Ayeyarwady,49030.0,56878.0,Tin Aung,NLD,54,26595
1,Wakema-1,79490.0,1684.0,4.0,Ayeyarwady,49030.0,56878.0,Kyi Lwin,NUP,36,17604
0,Ramree,59883.0,1689.0,5.0,Rakhine,35656.0,42095.0,Mya Maung,NLD,79,28322
1,Ramree,59883.0,1689.0,5.0,Rakhine,35656.0,42095.0,Chan Maung,YUO,13,4498
0,Manaung,42170.0,1694.0,6.0,Rakhine,27161.0,32996.0,Thein Maung,NLD,65,17781
1,Manaung,42170.0,1694.0,6.0,Rakhine,27161.0,32996.0,San Shwe,NUP,21,5786
0,Kyaukpyu-1,38660.0,1698.0,5.0,Rakhine,21834.0,26831.0,Hsan Maung,NLD,68,14848
1,Kyaukpyu-1,38660.0,1698.0,5.0,Rakhine,21834.0,26831.0,Saw Aung,APDF,14,3041
2,Kyaukpyu-1,38660.0,1698.0,5.0,Rakhine,21834.0,26831.0,San Kyaw Shwe,NUP,13,2903
0,Kyaukpyu-2,39697.0,1706.0,4.0,Rakhine,20958.0,27439.0,Tin Gyi,NLD,77,16209
1,Kyaukpyu-2,39697.0,1706.0,4.0,Rakhine,20958.0,27439.0,Kyaw Tha,APDF,10,2177
2,Kyaukpyu-2,39697.0,1706.0,4.0,Rakhine,20958.0,27439.0,Minn Kyi,NUP,10,2100
0,Mongshu,21294.0,1714.0,3.0,Shan,8465.0,10221.0,Sai Win Pe,SNLD,65,5523
1,Mongshu,21294.0,1714.0,3.0,Shan,8465.0,10221.0,Sao Pyin Hpe,NUP,35,2942
0,Kehsi,28015.0,1719.0,3.0,Shan,7364.0,9173.0,Tun Tin,SNLD,86,6368
1,Kehsi,28015.0,1719.0,3.0,Shan,7364.0,9173.0,Lt-Col Kaung Sit,NUP,11,775
0,Kunhing,14305.0,1724.0,2.0,Shan,6179.0,7231.0,Sai Leik,SNLD,84,5195
1,Kunhing,14305.0,1724.0,2.0,Shan,6179.0,7231.0,Sai Hkam Pan,NUP,16,984
0,Leikha,22266.0,1729.0,2.0,Shan,10680.0,12480.0,Tha Tun Mya,SNLD,81,8615
1,Leikha,22266.0,1729.0,2.0,Shan,10680.0,12480.0,Sai Phone Myint,NUP,19,2065
0,Loilem,46006.0,1734.0,5.0,Shan,18059.0,24400.0,Sai Tun Kyaw,SNLD,38,6946
1,Loilem,46006.0,1734.0,5.0,Shan,18059.0,24400.0,Han Tin,UPNO,23,4234
2,Loilem,46006.0,1734.0,5.0,Shan,18059.0,24400.0,Daw Mi Mi,NLD,21,3710
3,Loilem,46006.0,1734.0,5.0,Shan,18059.0,24400.0,Maj. Pe Thein,NUP,16,2841
0,Lankho,18141.0,1744.0,2.0,Shan,10598.0,13243.0,Sai Tun Aung,SNLD,84,8939
1,Lankho,18141.0,1744.0,2.0,Shan,10598.0,13243.0,Sai Hkam Hlaing,NUP,16,1659
0,Mongkai,24541.0,1749.0,2.0,Shan,13544.0,15652.0,Sai Om,SNLD,89,12012
1,Mongkai,24541.0,1749.0,2.0,Shan,13544.0,15652.0,Sai Tun Tha,NUP,11,1532
0,Mongyawn,15557.0,1754.0,3.0,Shan,3818.0,5889.0,Sai Tun Aung,NLD,74,2839
1,Mongyawn,15557.0,1754.0,3.0,Shan,3818.0,5889.0,Sai Hsin Sai,NUP,24,904
0,Tachilek,51351.0,1758.0,4.0,Shan,14148.0,17681.0,Soom Hsaing,NLD,63,8901
1,Tachilek,51351.0,1758.0,4.0,Shan,14148.0,17681.0,Sai Lon Mar,NUP,19,2691
2,Tachilek,51351.0,1758.0,4.0,Shan,14148.0,17681.0,Po Thein Shin,LNDP,13,1885
0,Monghpyat,10063.0,1766.0,4.0,Shan,4227.0,5585.0,Sai Nwe,NLD,38,1625
1,Monghpyat,10063.0,1766.0,4.0,Shan,4227.0,5585.0,Kya Oo,LNDP,38,1598
2,Monghpyat,10063.0,1766.0,4.0,Shan,4227.0,5585.0,Aik Kyauk,NUP,14,611
0,Mongping,27457.0,1774.0,3.0,Shan,11728.0,14470.0,Daniel Aung,LNDP,55,6407
1,Mongping,27457.0,1774.0,3.0,Shan,11728.0,14470.0,Thi Hla,SNLD,40,4640
2,Mongping,27457.0,1774.0,3.0,Shan,11728.0,14470.0,Sai Hsan Phoo,NUP,5,641
0,Mongton,7958.0,1783.0,3.0,Shan,3567.0,4374.0,Sai Kyaw Sein,SNLD,73,2619
1,Mongton,7958.0,1783.0,3.0,Shan,3567.0,4374.0,Kya Tawt,LNDP,16,571
2,Mongton,7958.0,1783.0,3.0,Shan,3567.0,4374.0,Sai Tun Kyaw,NUP,11,377
0,Monghsat,16807.0,1792.0,3.0,Shan,5092.0,6962.0,Hsan Wonn,NLD,56,2845
1,Monghsat,16807.0,1792.0,3.0,Shan,5092.0,6962.0,Kya Nu,LNDP,29,1457
2,Monghsat,16807.0,1792.0,3.0,Shan,5092.0,6962.0,Sai Chit Thaung,NUP,15,772
0,Maukmai,5557.0,1800.0,2.0,Shan,3024.0,3838.0,Sai Uk,SNLD,87,2626
1,Maukmai,5557.0,1800.0,2.0,Shan,3024.0,3838.0,Kyaw Hla,NUP,13,398
0,Mongpang,4789.0,1805.0,2.0,Shan,3007.0,3422.0,Sai Moe Kyi,SNLD,84,2519
1,Mongpang,4789.0,1805.0,2.0,Shan,3007.0,3422.0,Khin Maung Myint,NUP,16,488
0,Mongnai,8575.0,1810.0,3.0,Shan,5343.0,6254.0,Hkun Pwint,SNLD,59,3145
1,Mongnai,8575.0,1810.0,3.0,Shan,5343.0,6254.0,Sai Mya Maung,NLD,31,1671
2,Mongnai,8575.0,1810.0,3.0,Shan,5343.0,6254.0,Sai Chit Tun,NUP,10,527
0,Homalin-1,33390.0,1820.0,4.0,Sagaing,20734.0,23765.0,Ohn Kyaing,NLD,42,8684
1,Homalin-1,33390.0,1820.0,4.0,Sagaing,20734.0,23765.0,Ohn Kywe,SNLD,35,7295
2,Homalin-1,33390.0,1820.0,4.0,Sagaing,20734.0,23765.0,Daw Tin Yin,NUP,21,4255
0,Homalin-2,32012.0,1828.0,5.0,Sagaing,16427.0,19120.0,Hla Thein,NLD,43,7068
1,Homalin-2,32012.0,1828.0,5.0,Sagaing,16427.0,19120.0,Maung Thwin,SNLD,40,6628
2,Homalin-2,32012.0,1828.0,5.0,Sagaing,16427.0,19120.0,Hla Thaung,NUP,13,2186
0,Hkamti,13701.0,1836.0,3.0,Sagaing,7145.0,8200.0,Daw Hse Hse,NLD,47,3332
1,Hkamti,13701.0,1836.0,3.0,Sagaing,7145.0,8200.0,Shin Ba,NHRPP,29,2072
2,Hkamti,13701.0,1836.0,3.0,Sagaing,7145.0,8200.0,Aye Pe,NUP,24,1741
0,Waingmaw,35741.0,1844.0,8.0,Kachin,21751.0,24792.0,Duwa Zaw Aung,NLD,38,8229
1,Waingmaw,35741.0,1844.0,8.0,Kachin,21751.0,24792.0,Soe Nyunt,SNLD,25,5403
2,Waingmaw,35741.0,1844.0,8.0,Kachin,21751.0,24792.0,Arsee,LNS,13,2880
3,Waingmaw,35741.0,1844.0,8.0,Kachin,21751.0,24792.0,Dija Yaw,NUP,11,2290
4,Waingmaw,35741.0,1844.0,8.0,Kachin,21751.0,24792.0,S Naung Latt,KSNDP,10,2080
0,Mogaung,56212.0,1857.0,7.0,Kachin,29407.0,36124.0,Tun Kyi,NLD,50,14779
1,Mogaung,56212.0,1857.0,7.0,Kachin,29407.0,36124.0,Tun Aye,NUP,19,5677
2,Mogaung,56212.0,1857.0,7.0,Kachin,29407.0,36124.0,Shwe Tun,SNLD,12,3406
0,Phaungpyin,37956.0,1865.0,3.0,Sagaing,28841.0,33566.0,Aung Thaung,NLD,65,18835
1,Phaungpyin,37956.0,1865.0,3.0,Sagaing,28841.0,33566.0,Maung Oo,NUP,31,8984
0,Mawlaik,22327.0,1869.0,2.0,Sagaing,17663.0,19230.0,Tin Maung Win,NLD,64,11249
1,Mawlaik,22327.0,1869.0,2.0,Sagaing,17663.0,19230.0,Kyaw Nyein,NUP,36,6414
0,Kale-1,62820.0,1873.0,6.0,Sagaing,40599.0,44272.0,Do Htaung,NLD,43,17381
1,Kale-1,62820.0,1873.0,6.0,Sagaing,40599.0,44272.0,Col. Za Mong,NUP,22,9016
2,Kale-1,62820.0,1873.0,6.0,Sagaing,40599.0,44272.0,Lal Bit,CNLD,16,6441
3,Kale-1,62820.0,1873.0,6.0,Sagaing,40599.0,44272.0,Do Pau,ZNC,15,6266
0,Kale-2,58991.0,1883.0,5.0,Sagaing,40307.0,44117.0,Thein Win,NLD,57,23068
1,Kale-2,58991.0,1883.0,5.0,Sagaing,40307.0,44117.0,Khin Maung Yi,NUP,26,10384
2,Kale-2,58991.0,1883.0,5.0,Sagaing,40307.0,44117.0,Dr. Alian Zanan,CNLD,13,5120
0,Tamu,37680.0,1891.0,4.0,Sagaing,25281.0,28783.0,Htaung Kho Htan,UNLD,35,8939
1,Tamu,37680.0,1891.0,4.0,Sagaing,25281.0,28783.0,Kyint Suan Kham,NLD,32,7973
2,Tamu,37680.0,1891.0,4.0,Sagaing,25281.0,28783.0,Kyaw Aung,NUP,30,7596
0,Kalewa,26230.0,1899.0,4.0,Sagaing,19712.0,23115.0,Tin Maung,NLD,46,9041
1,Kalewa,26230.0,1899.0,4.0,Sagaing,19712.0,23115.0,Mya Pe,NUP,43,8456
0,Mingin,47015.0,1903.0,4.0,Sagaing,33296.0,38294.0,Bo,NLD,55,18435
1,Mingin,47015.0,1903.0,4.0,Sagaing,33296.0,38294.0,Tin Htar,NUP,42,14005
0,Matupi-1,12617.0,1907.0,6.0,Chin,10107.0,10949.0,Yo Ok,MPP,34,3450
1,Matupi-1,12617.0,1907.0,6.0,Chin,10107.0,10949.0,Minn Hto,NLD,32,3189
2,Matupi-1,12617.0,1907.0,6.0,Chin,10107.0,10949.0,Yon Daw,CNLD,20,2018
3,Matupi-1,12617.0,1907.0,6.0,Chin,10107.0,10949.0,K T Phaing,NUP,13,1280
0,Matupi-2,12234.0,1917.0,5.0,Chin,9298.0,9753.0,Shwe Tan,NLD,48,4417
1,Matupi-2,12234.0,1917.0,5.0,Chin,9298.0,9753.0,Hsa Wa,CNLD,34,3193
2,Matupi-2,12234.0,1917.0,5.0,Chin,9298.0,9753.0,Kya Khe,NUP,13,1205
0,Paletwa-1,19345.0,1925.0,4.0,Chin,10374.0,11451.0,Kyaw Tun,NLD,38,3961
1,Paletwa-1,19345.0,1925.0,4.0,Chin,10374.0,11451.0,Tein Tun,CNLD,30,3163
2,Paletwa-1,19345.0,1925.0,4.0,Chin,10374.0,11451.0,Sein Tha Oo,NUP,15,1558
3,Paletwa-1,19345.0,1925.0,4.0,Chin,10374.0,11451.0,Hsi Kauk,MPP,16,1692
0,Paletwa-2,18828.0,1935.0,5.0,Chin,8707.0,9466.0,Htwe Aung,NLD,31,2732
1,Paletwa-2,18828.0,1935.0,5.0,Chin,8707.0,9466.0,Sein Tha Aung,CNLD,27,2353
2,Paletwa-2,18828.0,1935.0,5.0,Chin,8707.0,9466.0,Aung Tha Ban,NUP,20,1718
3,Paletwa-2,18828.0,1935.0,5.0,Chin,8707.0,9466.0,Win Mar,MKNSO,14,1257
0,Kanpetlet,8201.0,1945.0,4.0,Chin,6430.0,6820.0,Lein Ha,NUP,37,2361
1,Kanpetlet,8201.0,1945.0,4.0,Chin,6430.0,6820.0,San Khin,CNLD,25,1637
2,Kanpetlet,8201.0,1945.0,4.0,Chin,6430.0,6820.0,Aung Myint,NLD,21,1351
3,Kanpetlet,8201.0,1945.0,4.0,Chin,6430.0,6820.0,Tun Aung,LDP,17,1081
0,Mindat,17479.0,1955.0,4.0,Chin,13167.0,14242.0,Shein Pe Ling,CNLD,42,5542
1,Mindat,17479.0,1955.0,4.0,Chin,13167.0,14242.0,Pe Ling Maung,NUP,30,4012
2,Mindat,17479.0,1955.0,4.0,Chin,13167.0,14242.0,Ge Lein,NLD,24,3186
0,Kyauktaw-1,48809.0,1965.0,7.0,Rakhine,27620.0,35172.0,Kyaw Hla Oo,PUO,12,3304
1,Kyauktaw-1,48809.0,1965.0,7.0,Rakhine,27620.0,35172.0,Dr. Tun Aye,RDL,47,12937
2,Kyauktaw-1,48809.0,1965.0,7.0,Rakhine,27620.0,35172.0,Maung Maung Tin,NDPHR,17,4781
3,Kyauktaw-1,48809.0,1965.0,7.0,Rakhine,27620.0,35172.0,Kyaw Zaw Hla,LDP,15,4037
0,Kyauktaw-2,49307.0,1975.0,5.0,Rakhine,28500.0,36757.0,San Tha Aung,MKNDO,55,15801
1,Kyauktaw-2,49307.0,1975.0,5.0,Rakhine,28500.0,36757.0,Kyaw Min,NLD,18,5252
2,Kyauktaw-2,49307.0,1975.0,5.0,Rakhine,28500.0,36757.0,Thura Saw Pru,NUP,17,4893
0,Rathedaung-1,35108.0,1983.0,5.0,Rakhine,19626.0,25118.0,Maung Kywin Aung,NLD,37,7310
1,Rathedaung-1,35108.0,1983.0,5.0,Rakhine,19626.0,25118.0,Kyaw Mra Oo,RDL,31,6063
2,Rathedaung-1,35108.0,1983.0,5.0,Rakhine,19626.0,25118.0,Bo Hlaing,NUP,20,3829
3,Rathedaung-1,35108.0,1983.0,5.0,Rakhine,19626.0,25118.0,Saw Pru,Independent,10,1960
0,Rathedaung-2,33843.0,1993.0,6.0,Rakhine,18910.0,23629.0,Tha No,RDL,42,7987
1,Rathedaung-2,33843.0,1993.0,6.0,Rakhine,18910.0,23629.0,Oo Shwe Saw,NLD,28,5300
2,Rathedaung-2,33843.0,1993.0,6.0,Rakhine,18910.0,23629.0,Lt-Col Tha Sein,NUP,20,3774
0,Mrauk-U-1,43550.0,2001.0,5.0,Rakhine,27900.0,33173.0,Saw Mra Aung,RDL,62,17322
1,Mrauk-U-1,43550.0,2001.0,5.0,Rakhine,27900.0,33173.0,Tun Kyaw Sein,NUP,16,4539
2,Mrauk-U-1,43550.0,2001.0,5.0,Rakhine,27900.0,33173.0,Maung Maung Htwee,MKNSO,11,3086
3,Mrauk-U-1,43550.0,2001.0,5.0,Rakhine,27900.0,33173.0,Tha Zan Hla,NLD,9,2639
0,Mrauk-U-2,44524.0,2007.0,6.0,Rakhine,27200.0,32026.0,Aung Hla Zan,RDL,55,14861
1,Mrauk-U-2,44524.0,2007.0,6.0,Rakhine,27200.0,32026.0,Dr. Kaung Hla Pru,NUP,17,4579
2,Mrauk-U-2,44524.0,2007.0,6.0,Rakhine,27200.0,32026.0,Dr. Hla Yin,NDPHR,16,4381
3,Mrauk-U-2,44524.0,2007.0,6.0,Rakhine,27200.0,32026.0,Sein Kyaw Hla,NLD,9,2415
0,Myebon,45361.0,2017.0,4.0,Rakhine,25031.0,31221.0,Pru Sein Oo,RDL,43,10763
1,Myebon,45361.0,2017.0,4.0,Rakhine,25031.0,31221.0,Aung Hla Pru,NLD,35,8700
2,Myebon,45361.0,2017.0,4.0,Rakhine,25031.0,31221.0,Aung Kyaw Sein,NUP,18,4610
0,An,46770.0,2025.0,4.0,Rakhine,19945.0,26081.0,Nay Win,NLD,67,13379
1,An,46770.0,2025.0,4.0,Rakhine,19945.0,26081.0,Tun Tun,NUP,15,3016
2,An,46770.0,2025.0,4.0,Rakhine,19945.0,26081.0,Aung Pan Tha,APDF,11,2121
0,Sumprabum,1284.0,2035.0,2.0,Kachin,806.0,879.0,Zau Ain,KSNCD,73,589
1,Sumprabum,1284.0,2035.0,2.0,Kachin,806.0,879.0,Nyi Pu,NUP,27,217
0,Khawbude,5997.0,2040.0,4.0,Kachin,3180.0,3381.0,Mapang Sin,Unknown,41,1317
1,Khawbude,5997.0,2040.0,4.0,Kachin,3180.0,3381.0,Jonas Aung Gam,NUP,29,931
2,Khawbude,5997.0,2040.0,4.0,Kachin,3180.0,3381.0,R Gudee,KSNDP,29,924
0,Machambaw,6138.0,2048.0,4.0,Kachin,4082.0,4604.0,N Nang Gam,NLD,38,1532
1,Machambaw,6138.0,2048.0,4.0,Kachin,4082.0,4604.0,Lanang Bawk,NUP,30,1225
2,Machambaw,6138.0,2048.0,4.0,Kachin,4082.0,4604.0,Ding Ra Tang,KSNDP,28,1140
0,Kamaing,11327.0,2056.0,6.0,Kachin,5208.0,5755.0,Tin Myint,NLD,49,2550
1,Kamaing,11327.0,2056.0,6.0,Kachin,5208.0,5755.0,N D Zau Tawng,KNCD,26,1266
2,Kamaing,11327.0,2056.0,6.0,Kachin,5208.0,5755.0,Khamda Brang Shaung,NUP,13,687
0,Putao,29900.0,2064.0,8.0,Kachin,17707.0,21960.0,Yau Si,NLD,49,8695
1,Putao,29900.0,2064.0,8.0,Kachin,17707.0,21960.0,Mi Tung Tu,NUP,17,2951
2,Putao,29900.0,2064.0,8.0,Kachin,17707.0,21960.0,Pansa Ram,Independent,11,1895
0,Nogmun,3850.0,2072.0,3.0,Kachin,2877.0,3096.0,M Sin Sar,NUP,78,2231
1,Nogmun,3850.0,2072.0,3.0,Kachin,2877.0,3096.0,Min Zaw,NLD,21,603
0,Maungdaw-1,87174.0,2076.0,7.0,Rakhine,64019.0,73633.0,Ebrahim,NDPHR,51,31360
1,Maungdaw-1,87174.0,2076.0,7.0,Rakhine,64019.0,73633.0,Noor Alam,SYLMD,33,21319
2,Maungdaw-1,87174.0,2076.0,7.0,Rakhine,64019.0,73633.0,Mohamed Hussein,NLD,1,672
3,Maungdaw-1,87174.0,2076.0,7.0,Rakhine,64019.0,73633.0,Capt. Hla Saw Aung,NUP,0,307
0,Maungdaw-2,84166.0,2086.0,7.0,Rakhine,58230.0,68440.0,Fazul Ahmed,NDPHR,43,24881
1,Maungdaw-2,84166.0,2086.0,7.0,Rakhine,58230.0,68440.0,Nurul Haq,SYLMD,42,24203
2,Maungdaw-2,84166.0,2086.0,7.0,Rakhine,58230.0,68440.0,Rafee,NUP,6,3746
3,Maungdaw-2,84166.0,2086.0,7.0,Rakhine,58230.0,68440.0,Abul Faiz,NLD,4,2221
0,Lahe,8847.0,2098.0,3.0,Sagaing,4678.0,5511.0,Khapo Kailon,NHRPP,87,4053
1,Lahe,8847.0,2098.0,3.0,Sagaing,4678.0,5511.0,Mya Maung,NUP,11,510
2,Lahe,8847.0,2098.0,3.0,Sagaing,4678.0,5511.0,Myint Tin,NLD,2,115
0,Leshi,5572.0,2108.0,2.0,Sagaing,4724.0,4951.0,Dwe Pawt,NHRPP,70,3300
1,Leshi,5572.0,2108.0,2.0,Sagaing,4724.0,4951.0,Law Pau Yaw,NUP,30,1424
0,Chipwe,1753.0,2114.0,3.0,Kachin,1339.0,1417.0,G Bawng Hlan,KSNCD,37,496
1,Chipwe,1753.0,2114.0,3.0,Kachin,1339.0,1417.0,Raw Bon,KSNDP,32,422
2,Chipwe,1753.0,2114.0,3.0,Kachin,1339.0,1417.0,Khaw Sawng,NUP,31,421
0,Hsawlaw,452.0,2120.0,4.0,Kachin,382.0,397.0,Mok Myaw Hsan Khawng,NUP,41,158
1,Hsawlaw,452.0,2120.0,4.0,Kachin,382.0,397.0,Han Gau Dawng Zawng,NLD,37,143
2,Hsawlaw,452.0,2120.0,4.0,Kachin,382.0,397.0,Wa BAU Zay Zawng,KSNDP,21,80
3,Hsawlaw,452.0,2120.0,4.0,Kachin,382.0,397.0,Gyone Hawng,KNC,0,1
